timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-27T20:50:00,18.34,0.99,831.719,127.961
2024-01-27T20:55:00,15.946,0.982,303.055,75.965
2024-01-27T21:00:00,18.059,0.991,349.585,70.63
2024-01-27T21:05:00,16.977,0.985,177.737,73.163
2024-01-27T21:10:00,17.048,1.002,317.079,94.793
2024-01-27T21:15:00,20.459,0.971,619.562,118.729
2024-01-27T21:20:00,24.205,1.002,766.652,180.047
2024-01-27T21:25:00,39.909,0.918,3725.102,369.803
2024-01-27T21:30:00,34.109,0.952,3169.69,312.411
2024-01-27T21:35:00,24.419,0.917,740.036,214.683
2024-01-27T21:40:00,12.52,0.926,259.562,44.55
2024-01-27T21:45:00,16.085,0.941,743.64,103.31
2024-01-27T21:50:00,16.647,0.966,725.398,104.792
2024-01-27T21:55:00,16.676,0.925,483.058,121.908
2024-01-27T22:00:00,14.131,0.935,148.258,82.532
2024-01-27T22:05:00,15.871,0.934,282.93,130.434
2024-01-27T22:10:00,15.411,0.963,206.622,141.773
2024-01-27T22:15:00,14.12,0.878,379.73,55.89
2024-01-27T22:20:00,17.326,0.987,614.367,158.019
2024-01-27T22:25:00,14.153,0.997,349.447,88.988
2024-01-27T22:30:00,15.2,0.984,475.845,92.607
2024-01-27T22:35:00,14.203,0.994,365.346,100.814
2024-01-27T22:40:00,14.585,1.002,280.501,99.824
2024-01-27T22:45:00,14.817,0.991,288.029,86.827
2024-01-27T22:50:00,13.94,1.0,220.927,116.941
2024-01-27T22:55:00,14.181,1.003,147.077,105.857
2024-01-27T23:00:00,22.048,0.953,1282.093,103.957
2024-01-27T23:05:00,13.962,1.002,354.521,97.466
2024-01-27T23:10:00,15.779,0.947,831.761,106.73
2024-01-27T23:15:00,13.704,0.946,704.28,98.132
2024-01-27T23:20:00,15.456,0.924,373.636,120.866
2024-01-27T23:25:00,11.784,1.003,450.965,41.326
2024-01-27T23:30:00,9.332,0.993,222.973,19.044
2024-01-27T23:35:00,16.897,0.97,561.099,57.382
2024-01-27T23:40:00,22.204,0.985,1730.237,248.716
2024-01-27T23:45:00,19.943,0.996,1795.193,242.386
2024-01-27T23:50:00,27.29,0.988,2604.881,251.893
2024-01-27T23:55:00,20.89,1.001,846.738,138.367
