timestamp,Infrared to Red Signal Ratio
01/26/24 00:00:31,0
01/26/24 00:01:31,-21
01/26/24 00:02:31,-2
01/26/24 00:03:31,-15
01/26/24 00:04:31,-4
01/26/24 00:05:31,0
01/26/24 00:06:31,-6
01/26/24 00:07:31,0
01/26/24 00:08:31,0
01/26/24 00:09:31,-4
01/26/24 00:10:31,1
01/26/24 00:11:31,-2
01/26/24 00:12:31,17
01/26/24 00:13:31,0
01/26/24 00:14:31,4
01/26/24 00:15:31,29
01/26/24 00:16:31,0
01/26/24 00:17:31,0
01/26/24 00:18:31,-8
01/26/24 00:19:31,-8
01/26/24 00:20:31,-3
01/26/24 00:21:31,0
01/26/24 00:22:31,0
01/26/24 00:23:31,0
01/26/24 00:24:31,-13
01/26/24 00:25:31,5
01/26/24 00:26:31,11
01/26/24 00:27:31,-1
01/26/24 00:28:31,7
01/26/24 00:29:31,0
01/26/24 00:30:31,-6
01/26/24 00:31:31,0
01/26/24 00:32:31,0
01/26/24 00:33:31,2
01/26/24 00:34:31,-8
01/26/24 00:35:31,8
01/26/24 00:36:31,-7
01/26/24 00:37:31,-14
01/26/24 00:38:31,-4
01/26/24 00:39:31,-8
01/26/24 00:40:31,26
01/26/24 00:41:31,27
01/26/24 00:42:31,-36
01/26/24 00:43:31,0
01/26/24 00:44:31,3
01/26/24 00:45:31,12
01/26/24 00:46:31,-7
01/26/24 00:47:31,0
01/26/24 00:48:31,-5
01/26/24 00:49:31,1
01/26/24 00:50:31,0
01/26/24 00:51:31,-10
01/26/24 00:52:31,5
01/26/24 00:53:31,13
01/26/24 00:54:31,0
01/26/24 00:55:31,-1
01/26/24 00:56:31,47
01/26/24 00:57:31,3
01/26/24 00:58:31,0
01/26/24 00:59:31,-84
01/26/24 01:00:31,1
01/26/24 01:01:31,16
01/26/24 01:02:31,0
01/26/24 01:03:31,5
01/26/24 01:04:31,0
01/26/24 01:05:31,-1
01/26/24 01:06:31,15
01/26/24 01:07:31,23
01/26/24 01:08:31,14
01/26/24 01:09:31,21
01/26/24 01:10:31,0
01/26/24 01:11:31,-5
01/26/24 01:12:31,4
01/26/24 01:13:31,-30
01/26/24 01:14:31,30
01/26/24 01:15:31,0
01/26/24 01:16:31,5
01/26/24 01:17:31,17
01/26/24 01:18:31,10
01/26/24 01:19:31,-39
01/26/24 01:20:31,0
01/26/24 01:21:31,-26
01/26/24 01:22:31,0
01/26/24 01:23:31,0
01/26/24 01:24:31,-17
01/26/24 01:25:31,-1
01/26/24 01:26:31,0
01/26/24 01:27:31,70
01/26/24 01:28:31,3
01/26/24 01:29:31,0
01/26/24 01:30:31,0
01/26/24 01:31:31,4
01/26/24 01:32:31,0
01/26/24 01:33:31,31
01/26/24 01:34:31,0
01/26/24 01:35:31,-8
01/26/24 01:36:31,0
01/26/24 01:37:31,-4
01/26/24 01:38:31,0
01/26/24 01:39:31,8
01/26/24 01:40:31,4
01/26/24 01:41:31,0
01/26/24 01:42:31,0
01/26/24 01:43:31,4
01/26/24 01:44:31,7
01/26/24 01:45:31,-3
01/26/24 01:46:31,-12
01/26/24 01:47:31,-36
01/26/24 01:48:31,13
01/26/24 01:49:31,29
01/26/24 01:50:31,-20
01/26/24 01:51:31,0
01/26/24 02:21:30,0
01/26/24 02:22:30,0
01/26/24 02:23:30,0
01/26/24 02:24:30,0
01/26/24 02:25:30,0
01/26/24 02:26:30,0
01/26/24 02:27:30,0
01/26/24 02:28:30,0
01/26/24 02:29:30,0
01/26/24 02:30:30,0
01/26/24 02:31:30,0
01/26/24 02:32:30,0
01/26/24 02:33:30,0
01/26/24 02:34:30,0
01/26/24 02:35:30,0
01/26/24 02:36:30,0
01/26/24 02:37:30,0
01/26/24 02:38:30,0
01/26/24 02:39:30,0
01/26/24 02:40:30,0
01/26/24 02:41:30,0
01/26/24 02:42:30,0
01/26/24 02:43:30,0
01/26/24 02:44:30,0
01/26/24 02:45:30,0
01/26/24 02:46:30,0
01/26/24 02:47:30,0
01/26/24 02:48:30,0
01/26/24 02:49:30,0
01/26/24 02:50:30,0
01/26/24 02:51:30,0
01/26/24 02:52:30,0
01/26/24 02:53:30,0
01/26/24 02:54:30,0
01/26/24 02:55:30,0
01/26/24 02:56:30,0
01/26/24 02:57:30,0
01/26/24 02:58:30,0
01/26/24 02:59:30,0
01/26/24 03:00:30,0
01/26/24 03:01:30,0
01/26/24 03:02:30,0
01/26/24 03:03:30,0
01/26/24 03:04:30,0
01/26/24 03:05:30,0
01/26/24 03:06:30,0
01/26/24 03:07:30,0
01/26/24 03:08:30,0
01/26/24 03:09:30,0
01/26/24 03:10:30,0
01/26/24 03:11:30,0
01/26/24 03:12:30,0
01/26/24 03:13:30,0
01/26/24 03:14:30,0
01/26/24 03:15:30,0
01/26/24 03:16:30,0
01/26/24 03:17:30,0
01/26/24 03:18:30,0
01/26/24 03:19:30,0
01/26/24 03:20:30,0
01/26/24 03:21:30,0
01/26/24 03:22:30,0
01/26/24 03:23:30,0
01/26/24 03:24:30,0
01/26/24 03:25:30,0
01/26/24 03:26:30,0
01/26/24 03:27:30,0
01/26/24 03:28:30,0
01/26/24 03:29:30,0
01/26/24 03:30:30,0
01/26/24 03:31:30,0
01/26/24 03:32:30,0
01/26/24 03:33:30,0
01/26/24 03:34:30,0
01/26/24 03:35:30,0
01/26/24 03:36:30,0
01/26/24 03:37:30,0
01/26/24 03:38:30,0
01/26/24 03:39:30,0
01/26/24 03:40:30,0
01/26/24 03:41:30,0
01/26/24 03:42:30,0
01/26/24 03:43:30,0
01/26/24 03:44:30,0
01/26/24 03:45:30,0
01/26/24 03:46:30,0
01/26/24 03:47:30,0
01/26/24 03:48:30,0
01/26/24 03:49:30,0
01/26/24 03:50:30,0
01/26/24 03:51:30,0
01/26/24 03:52:30,0
01/26/24 03:53:30,0
01/26/24 03:54:30,0
01/26/24 03:55:30,0
01/26/24 03:56:30,0
01/26/24 03:57:30,0
01/26/24 03:58:30,0
01/26/24 03:59:30,0
01/26/24 04:00:30,0
01/26/24 04:01:30,0
01/26/24 04:02:30,0
01/26/24 04:03:30,0
01/26/24 04:04:30,0
01/26/24 04:05:30,0
01/26/24 04:06:30,0
01/26/24 04:07:30,0
01/26/24 04:08:30,0
01/26/24 04:09:30,0
01/26/24 04:10:30,0
01/26/24 04:11:30,0
01/26/24 04:12:30,0
01/26/24 04:13:30,0
01/26/24 04:14:30,0
01/26/24 04:15:30,0
01/26/24 04:16:30,0
01/26/24 04:17:30,0
01/26/24 04:18:30,0
01/26/24 04:19:30,0
01/26/24 04:20:30,0
01/26/24 04:21:30,0
01/26/24 04:22:30,0
01/26/24 04:23:30,0
01/26/24 04:24:30,0
01/26/24 04:25:30,0
01/26/24 04:26:30,0
01/26/24 04:27:30,0
01/26/24 04:28:30,0
01/26/24 04:29:30,0
01/26/24 04:30:30,0
01/26/24 04:31:30,0
01/26/24 04:32:30,0
01/26/24 04:33:30,0
01/26/24 04:34:30,0
01/26/24 04:35:30,0
01/26/24 04:36:30,0
01/26/24 04:37:30,0
01/26/24 04:38:30,0
01/26/24 04:39:30,0
01/26/24 04:40:30,0
01/26/24 04:41:30,0
01/26/24 04:42:30,0
01/26/24 04:43:30,0
01/26/24 04:44:30,0
01/26/24 04:45:30,0
01/26/24 04:46:30,0
01/26/24 04:47:30,0
01/26/24 04:48:30,0
01/26/24 04:49:30,0
01/26/24 04:50:30,0
01/26/24 04:51:30,0
01/26/24 04:52:30,0
01/26/24 04:53:30,0
01/26/24 04:54:30,0
01/26/24 04:55:30,0
01/26/24 04:56:30,0
01/26/24 04:57:30,0
01/26/24 04:58:30,0
01/26/24 04:59:30,0
01/26/24 05:00:30,0
01/26/24 05:01:30,0
01/26/24 05:02:30,0
01/26/24 05:03:30,0
01/26/24 05:04:30,0
01/26/24 05:05:30,0
01/26/24 05:06:30,0
01/26/24 05:07:30,0
01/26/24 05:08:30,0
01/26/24 05:09:30,0
01/26/24 05:10:30,0
01/26/24 05:11:30,0
01/26/24 05:12:30,0
01/26/24 05:13:30,0
01/26/24 05:14:30,0
01/26/24 05:15:30,0
01/26/24 05:16:30,0
01/26/24 05:17:30,0
01/26/24 05:18:30,0
01/26/24 05:19:30,0
01/26/24 05:20:30,0
01/26/24 05:21:30,0
01/26/24 05:22:30,0
01/26/24 05:23:30,0
01/26/24 05:24:30,0
01/26/24 05:25:30,0
01/26/24 05:26:30,0
01/26/24 05:27:30,0
01/26/24 05:28:30,0
01/26/24 05:29:30,0
01/26/24 05:30:30,0
01/26/24 05:31:30,0
01/26/24 05:32:30,0
01/26/24 05:33:30,0
01/26/24 05:34:30,0
01/26/24 05:35:30,0
01/26/24 05:36:30,0
01/26/24 05:37:30,0
01/26/24 05:38:30,0
01/26/24 05:39:30,0
01/26/24 05:40:30,0
01/26/24 05:41:30,0
01/26/24 05:42:30,0
01/26/24 05:43:30,0
01/26/24 05:44:30,0
01/26/24 05:45:30,0
01/26/24 05:46:30,0
01/26/24 05:47:30,0
01/26/24 05:48:30,0
01/26/24 05:49:30,0
01/26/24 05:50:30,0
01/26/24 05:51:30,0
01/26/24 05:52:30,0
01/26/24 05:53:30,0
01/26/24 05:54:30,0
01/26/24 05:55:30,0
01/26/24 05:56:30,0
01/26/24 05:57:30,0
01/26/24 05:58:30,0
01/26/24 05:59:30,0
01/26/24 06:00:30,0
01/26/24 06:01:30,0
01/26/24 06:02:30,0
01/26/24 06:03:30,0
01/26/24 06:04:30,0
01/26/24 06:05:30,0
01/26/24 06:06:30,0
01/26/24 06:07:30,0
01/26/24 06:08:30,0
01/26/24 06:09:30,0
01/26/24 06:10:30,0
01/26/24 06:11:30,0
01/26/24 06:12:30,0
01/26/24 06:13:30,0
01/26/24 06:14:30,0
01/26/24 06:15:30,0
01/26/24 06:16:30,0
01/26/24 06:17:30,0
01/26/24 06:18:30,0
01/26/24 06:19:30,0
01/26/24 06:20:30,0
01/26/24 06:21:30,0
01/26/24 06:22:30,0
01/26/24 06:23:30,0
